CLOSEDATE,Company_House_Number,LEGALNAME,LIVE,NAME,OPENDATE,UKPRN,URN,DataSourcePath,DataSourceId
10/08/2011,null,ABBEY GRANGE CHURCH OF ENGLAND HIGH SCHOOL,FALSE,null,29/07/2005,10000042,108101,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,00133676,THE ABBEY SCHOOL READING,TRUE,null,12/10/2025,10000043,110165,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,ABBOT BEYNE SCHOOL,TRUE,null,14/07/2026,10000044,124449,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,OAK WOOD SCHOOL,TRUE,null,07/12/2025,10000045,102449,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,00370930,ABBOTSHOLME SCHOOL,TRUE,null,22/07/2026,10000046,113003,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02012484,ASSOCIATION OF BRITISH DISPENSING OPTICIANS(THE),TRUE,ABDO College of Education,21/01/2026,10000047,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,SC000791,ABERDEEN AND GRAMPIAN CHAMBER OF COMMERCE,TRUE,null,02/06/2026,10000048,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,SC169837,ABERDEEN FIRST AID SCHOOL LIMITED,TRUE,null,18/07/2026,10000049,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,SC143809,ABERDEEN SKILLS AND ENTERPRISE TRAINING LIMITED,TRUE,ASET,26/11/2023,10000050,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,SC049387,ABERNETHY TRUST LIMITED,TRUE,null,11/07/2025,10000051,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
09/05/2008,NI045623,ABERTAY TRAINING LIMITED,FALSE,null,01/11/2007,10000052,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02043599,ABILITY INTERNATIONAL LIMITED,TRUE,null,26/11/2023,10000053,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
24/11/2023,04116905,ABILITY PROFESSIONAL TRAINING LIMITED,FALSE,null,09/08/2023,10000054,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,null,ABINGDON AND WITNEY COLLEGE,TRUE,null,21/07/2026,10000055,130793,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
30/07/2009,05332560,ABLE CATERING SERVICES LIMITED,FALSE,null,16/04/2007,10000056,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02530653,ABLE LIFTING EQUIPMENT (SOUTHERN) LIMITED,TRUE,Able Lifting,26/11/2023,10000057,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
04/05/2016,04457276,ABSOLUTE AQUA LIMITED,FALSE,null,02/03/2016,10000058,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
27/02/2020,04222375,ABSOLUTE RIDER TRAINING LIMITED,FALSE,null,26/11/2019,10000059,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04397729,ACACIA TRAINING AND DEVELOPMENT LTD,TRUE,null,09/07/2026,10000060,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04080815,ACACIA TRAINING LIMITED,TRUE,null,09/07/2026,10000061,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
08/11/2007,03527720,ACADEMY DAY NURSERIES & CHILDCARE LIMITED,FALSE,null,16/04/2007,10000062,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,04310360,SITEVISIBILITY MARKETING LIMITED,TRUE,Academy Internet,22/01/2024,10000063,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
30/07/2009,SC214906,THE ACADEMY OF AROMATHERAPY AND MASSAGE (SCOTLAND) LIMITED,FALSE,null,16/04/2007,10000064,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
11/12/2007,04470874,THE ACADEMY OF BUSINESS STRATEGY LIMITED,FALSE,null,16/11/2007,10000065,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
05/10/2018,04000624,MABLE TRAINING LTD,FALSE,null,27/07/2018,10000066,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
05/11/2007,03634089,RENMOOR FEATHERS LIMITED,FALSE,null,22/03/2007,10000067,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
08/08/2007,03940162,NIG ACADEMY OF PROFESSIONAL INVESTIGATION LIMITED,FALSE,null,22/03/2007,10000068,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
07/10/2009,04535270,LONDON UNIVERSAL COLLEGE LIMITED,FALSE,null,13/05/2008,10000069,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
30/11/2022,04255962,APTT LIMITED,FALSE,Academy Of Professional Transport Training,05/10/2022,10000070,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02086999,ACADEMY OF SYSTEMATIC KINESIOLOGY LIMITED(THE),TRUE,null,21/01/2026,10000071,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
05/02/2015,05283311,ACADEMY OF TRAINING LIMITED,FALSE,null,04/01/2015,10000072,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,01749730,ASSOCIATION FOR CULTURAL ADVANCEMENT THROUGH VISUAL ART,TRUE,Acava,27/11/2023,10000073,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
12/05/2008,03122891,ACCADEMIA CLUB LIMITED,FALSE,null,16/04/2007,10000074,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,01265110,ACCELERATED LEARNING SYSTEMS LIMITED,TRUE,null,28/10/2024,10000075,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
26/10/2022,03380623,ACCENT ON TRAINING LIMITED,FALSE,null,26/08/2022,10000076,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
13/09/2021,03957974,ACCENTURE HR SERVICES LIMITED,FALSE,null,04/07/2021,10000077,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
26/01/2009,03846855,ACCESS 2 TRAINING AND ENTERPRISE LTD.,FALSE,Access2 Training & Enterprise Ltd,16/04/2007,10000078,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
03/04/2007,04113861,ACCESS CARE TRAINING LIMITED,FALSE,null,01/09/2006,10000079,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
null,02749258,ACCESS FURTHER EDUCATION LIMITED,TRUE,null,10/05/2026,10000080,null,PUB.UKRLP.dbo.ProviderInstance,a97e2eb1-c959-4c26-8064-6961d76df731
