Provider.Ukprn,Provider.Urn,Provider.Name,ProviderType.ProviderType,ProviderType.ProviderTypeCode,ProviderType.Store_ProviderType,ProviderType.Store_ProviderTypeCode,ProviderSubType.ProviderSubtype,ProviderSubType.ProviderSubtypeCode,ProviderSubType.Store_ProviderSubtype,ProviderSubType.Store_ProviderSubtypeCode,FurtherEducationType.FurtherEducationType,FurtherEducationType.Code,Authority.Authority,Authority.Code,Provider.DateOpened,Provider.DateClosed,ReasonEstablishmentOpened.ReasonEstablishmentOpened,ReasonEstablishmentOpened.Code,ReasonEstablishmentClosed.ReasonEstablishmentClosed,ReasonEstablishmentClosed.Code,PaymentOrganisation.Name,PaymentOrganisation.Ukprn,PaymentOrganisation.TrustCode,PaymentOrganisation.Urn,PaymentOrganisation.PaymentOrganisationType,PaymentOrganisation.CompanyHouseNumber,PaymentOrganisation.GroupIdNumber,ProviderStatus.ProviderStatus,ProviderStatus.Code,PhaseOfEducation.PhaseOfEducation,PhaseOfEducation.Code,Provider.StatutoryLowAge,Provider.StatutoryHighAge,Provider.EstablishmentNumber,Provider.DfeEstablishmentNumber,Provider.Postcode,Provider.Town,Provider.Street,Provider.Locality,Provider.Address3,TrustStatus.TrustStatus,TrustStatus.Code,Provider.PreviousLaCode,Provider.PreviousLaName,Provider.PreviousEstablishmentNumber,Provider.RscRegionName,Provider.RscRegionCode,Provider.GovernmentOfficeRegionName,Provider.GovernmentOfficeRegionCode,Provider.DistrictName,Provider.DistrictCode,Provider.WardName,Provider.WardCode,Provider.CensusWardName,Provider.CensusWardCode,Provider.MiddleSuperOutputAreaName,Provider.MiddleSuperOutputAreaCode,Provider.LowerSuperOutputAreaName,Provider.LowerSuperOutputAreaCode,Provider.ParliamentaryConstituencyName,Provider.ParliamentaryConstituencyCode,Provider.CountryCode,Provider.CountryName,Provider.OfficialSixthFormCode,Provider.OfficialSixthFormName,Stream,Period
10079312,100167,Eltham Church of England Primary School,Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,3338,2033338,SE9 1TR,London,Roper Street,Eltham,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Eltham Town & Avery Hill,E05014079,,999999,Greenwich 027,E02000339,Greenwich 027D,E01001609,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10079317,100030,Emmanuel Church of England Primary School,Local authority maintained schools,4,,,Voluntary aided school,02,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,3340,2023340,NW6 1TF,London,152-158 Mill Lane,West Hampstead,,Not applicable,0,999,,,,,London,H,Camden,E09000007,West Hampstead,E05013671,,999999,Camden 010,E02000175,Camden 010B,E01000970,Hampstead and Highgate,E14001265,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10079731,100026,Fitzjohn's Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2797,2022797,NW3 6NP,London,86A Fitzjohn's Avenue,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Hampstead Town,E05013659,,999999,Camden 008,E02000173,Camden 008D,E01000897,Hampstead and Highgate,E14001265,GB,United Kingdom,0,Not applicable,PSG,SY2425
10078061,100014,Fleet Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2219,2022219,NW3 2QT,London,Fleet Road,,Fleet Primary School,Not applicable,0,999,,,,,London,H,Camden,E09000007,Gospel Oak,E05013658,,999999,Camden 006,E02000171,Camden 006B,E01000887,Hampstead and Highgate,E14001265,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078053,100125,Fossdene Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,4,11,2228,2032228,SE7 7NQ,London,Victoria Way,Charlton,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Charlton Village & Riverside,E05014075,,999999,Greenwich 014,E02000326,Greenwich 014B,E01001592,Greenwich and Woolwich,E14001257,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10062311,143592,Foxfield Primary School,Academies,10,,,Academy converter,34,,,Not applicable,00,Greenwich,203,01/06/2017,,Academy Converter,10,,99,INSPIRE PARTNERSHIP ACADEMY TRUST,10064647,16696,,Multi-academy trust,10421212,TR03522,Open,1,Primary,2,3,11,2885,2032885,SE18 7EX,London,Sandbach Place,,,Supported by a multi-academy trust,3,999,,,,,London,H,Greenwich,E09000011,Woolwich Common,E05014093,,999999,Greenwich 009,E02000321,Greenwich 009C,E01001634,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10077052,100091,Frank Barnes School for Deaf Children,Special schools,5,,,Community special school,07,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Not applicable,0,2,11,7008,2027008,N1C 4BT,London,4 Wollstonecraft Street,Kings Cross,,Not applicable,0,999,,,,,London,H,Camden,E09000007,King's Cross,E05013666,,999999,Camden 022,E02000187,Camden 022F,E01035708,Holborn and St Pancras,E14001290,GB,United Kingdom,0,Not applicable,PSG,SY2425
10078052,100126,Gallions Mount Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,01/01/1900,31/08/2025,Not applicable,00,Closure,02,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Closed,2,Primary,2,3,11,2242,2032242,SE18 1JR,London,Purrett Road,Plumstead,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Plumstead & Glyndon,E05014087,,999999,Greenwich 006,E02000318,Greenwich 006E,E01001677,Erith and Thamesmead,E14001229,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078051,100127,Gordon Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Greenwich,203,,,Not applicable,00,Not applicable,00,ROYAL BOROUGH OF GREENWICH,10003990,,,LA,,,Open,1,Primary,2,3,11,2258,2032258,SE9 1QG,London,Grangehill Road,Eltham,,Not applicable,0,999,,,,,London,H,Greenwich,E09000011,Eltham Park & Progress,E05014078,,999999,Greenwich 027,E02000339,Greenwich 027A,E01001604,Eltham and Chislehurst,E14001223,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
10078058,100025,Gospel Oak Primary School,Local authority maintained schools,4,,,Community school,01,,,Not applicable,00,Camden,202,,,Not applicable,00,Not applicable,00,CAMDEN LONDON BOROUGH COUNCIL,10003988,,,LA,,,Open,1,Primary,2,3,11,2775,2022775,NW3 2JB,London,Mansfield Road,,,Not applicable,0,999,,,,,London,H,Camden,E09000007,Gospel Oak,E05013658,,999999,Camden 006,E02000171,Camden 006A,E01000886,Hampstead and Highgate,E14001265,GB,United Kingdom,2,Does not have a sixth form,PSG,SY2425
